"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4520788";"BAY-294";"";"Unknown";"";"448.59";"452";"1887";"5.58";"68.30";"7";"2";"1";"8";"N";"0.37";"None";"9.67";"4.96";"2.68";"4";"MOL";"-1";"32";"6";"2";"1";"448.1933";"-0.75";"BASE";"C25H28N4O2S";"CNCc1ccccc1-c1csc([C@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1";"WEGLOYDTDILXDA-HNNXBMFYSA-N"
"CHEMBL3676924";"";"";"Small molecule";"";"504.64";"3";"3";"7.05";"45.48";"3";"1";"2";"6";"N";"0.46";"None";"9.70";"6.10";"3.83";"2";"MOL";"-1";"36";"4";"1";"2";"504.2964";"-0.83";"BASE";"C29H39F3N2O2";"O=C(N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1)C1CCC(C(F)(F)F)CC1";"GPUXMPIFNAGRSF-XPEDOLEQSA-N"
"CHEMBL4544099";"";"";"Unknown";"";"370.52";"5";"7";"3.64";"40.62";"3";"0";"0";"4";"N";"0.83";"None";"9.36";"3.57";"1.62";"2";"MOL";"-1";"26";"4";"0";"0";"370.1715";"-1.36";"BASE";"C21H26N2O2S";"CCN1CCC(c2ccc3c(c2)N(S(=O)(=O)c2ccccc2)CC3)CC1";"CTGOENHVWDCQPG-UHFFFAOYSA-N"
"CHEMBL4777080";"";"";"Unknown";"";"500.59";"8";"12";"4.84";"55.40";"3";"1";"1";"8";"N";"0.45";"None";"9.49";"3.73";"1.66";"3";"MOL";"-1";"35";"4";"1";"1";"500.1745";"-0.82";"BASE";"C27H27F3N2O2S";"O=C(c1ccc(F)cc1)N1CCC(NCC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1";"ASMWBPNCBDZFBV-UHFFFAOYSA-N"
"CHEMBL3910842";"";"";"Small molecule";"";"455.50";"2";"2";"5.16";"58.37";"4";"1";"1";"6";"N";"0.61";"10.96";"9.55";"3.80";"1.83";"2";"MOL";"-1";"32";"5";"1";"1";"455.2196";"-1.52";"BASE";"C23H29F4N3O2";"O=C(CC(F)(F)F)N[C@H]1CC[C@H](CCN2CCC(c3noc4cc(F)ccc34)CC2)CC1";"PAZGGYGNWVGTBZ-RZDIXWSQSA-N"
"CHEMBL4525362";"";"";"Unknown";"";"433.56";"5";"15";"3.36";"96.27";"5";"3";"0";"7";"N";"0.53";"None";"7.68";"2.38";"1.91";"3";"MOL";"-1";"32";"7";"4";"0";"433.2478";"-0.24";"NEUTRAL";"C25H31N5O2";"C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC1CC1CCNC(=O)c1cc2ccccc2[nH]1";"JQBHQHNVJCDNEL-ZCLRBYCSSA-N"
"CHEMBL4859988";"";"";"Unknown";"";"352.48";"8";"15";"3.18";"48.47";"4";"1";"0";"7";"N";"0.78";"None";"8.22";"3.45";"2.56";"2";"MOL";"-1";"26";"5";"1";"0";"352.2263";"-1.81";"NEUTRAL";"C21H28N4O";"CC(=O)Nc1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1";"KQZXADGECOXBKU-UHFFFAOYSA-N"
"CHEMBL4873677";"";"";"Unknown";"";"380.30";"19";"71";"5.17";"46.92";"4";"1";"1";"4";"N";"0.68";"None";"3.38";"4.80";"4.80";"3";"MOL";"-1";"24";"4";"1";"1";"379.0313";"-2.85";"NEUTRAL";"C17H15Cl2N3OS";"Cc1cc(C)n(Cc2ccc(C(=O)Nc3ccc(Cl)c(Cl)c3)s2)n1";"ZZLYDFCYFSKUBF-UHFFFAOYSA-N"
"CHEMBL562125";"";"";"Small molecule";"";"390.32";"4";"4";"3.98";"36.67";"5";"0";"0";"3";"N";"0.68";"None";"6.81";"2.63";"2.53";"3";"MOL";"-1";"26";"5";"0";"0";"389.1174";"-2.04";"NEUTRAL";"C19H21Cl2N5";"Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)n2cn1";"GPXJIGDKDCIDEO-UHFFFAOYSA-N"
"CHEMBL272086";"";"";"Small molecule";"";"554.76";"5";"5";"5.67";"67.15";"7";"0";"2";"7";"N";"0.27";"None";"9.10";"5.01";"3.31";"4";"MOL";"-1";"40";"7";"0";"2";"554.2828";"-1.19";"BASE";"C32H38N6OS";"Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6c(cc5CC4)C(=O)N(C(C)C)C6)n3C)cccc2n1";"VYGLNPIKDOAMBL-UHFFFAOYSA-N"
